No.,Max Frequency (Hz),Max Magnitude
1,184.22,48.24
2,173.16,41.84
3,186.97,17.57
4,184.55,26.90
5,185.60,40.53
6,184.49,42.64
7,53.69,14.40
8,238.45,22.29
9,80.32,28.86
10,141.22,64.62
11,177.89,83.31
12,491.53,81.13
13,123.51,70.42
14,56.40,28.77
15,175.85,45.68
16,238.24,59.92
17,238.28,57.22
18,58.72,69.10
19,56.71,82.71
20,175.70,112.24
21,176.63,92.27
22,195.06,77.03
23,125.55,62.73
24,236.61,72.98
25,99.70,66.54
26,125.61,86.56
27,179.25,80.30
28,143.87,65.84
29,160.22,86.69
30,125.89,84.62
31,566.21,144.92
32,83.00,85.35
33,91.03,131.33
34,564.13,119.37
